strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
g_inside_bar_breakout,LONG,2023-06-16 16:45:00+00:00,15385.25,15381.25,15393.25,2023-06-16 16:49:00+00:00,15393.25,target,16.0,32,4.0,2023,11,"IB_break LONG ib=[15381.50,15394.00]"
g_inside_bar_breakout,LONG,2023-06-19 14:20:00+00:00,15237.0,15230.25,15250.5,2023-06-19 16:02:00+00:00,15250.5,target,27.0,54,102.0,2023,9,"IB_break LONG ib=[15230.50,15238.25]"
g_inside_bar_breakout,LONG,2023-06-19 16:40:00+00:00,15242.5,15239.75,15248.0,2023-06-19 16:57:00+00:00,15239.75,stop,-5.5,-11,17.0,2023,11,"IB_break LONG ib=[15240.00,15242.75]"
a_asian_continuation,SHORT,2023-06-20 08:30:00+00:00,15194.25,15197.75,15187.25,2023-06-20 08:31:00+00:00,15187.25,target,14.0,28,1.0,2023,3,"ON_break SHORT close5=15183.25 on=[15191.50,15257.75]"
a_asian_continuation,SHORT,2023-06-21 12:10:00+00:00,15217.25,15220.75,15210.25,2023-06-21 12:12:00+00:00,15210.25,target,14.0,28,2.0,2023,7,"ON_break SHORT close5=15210.50 on=[15215.00,15273.00]"
e_multi_day_breakout,SHORT,2023-06-21 14:14:00+00:00,15114.25,15116.5,15109.75,2023-06-21 14:15:00+00:00,15116.5,stop,-4.5,-9,1.0,2023,9,3d_break SHORT 3dH=15475.50 3dL=15126.25
a_asian_continuation,SHORT,2023-06-23 12:35:00+00:00,15093.0,15096.5,15086.0,2023-06-23 12:36:00+00:00,15086.0,target,14.0,28,1.0,2023,7,"ON_break SHORT close5=15074.50 on=[15085.75,15236.50]"
e_multi_day_breakout,SHORT,2023-06-26 16:12:00+00:00,14928.5,14935.25,14915.0,2023-06-26 16:15:00+00:00,14935.25,stop,-13.5,-27,3.0,2023,11,3d_break SHORT 3dH=15219.25 3dL=14964.00
g_inside_bar_breakout,SHORT,2023-06-26 18:20:00+00:00,14914.25,14916.5,14909.75,2023-06-26 18:21:00+00:00,14909.75,target,9.0,18,1.0,2023,13,"IB_break SHORT ib=[14903.00,14916.25]"
g_inside_bar_breakout,SHORT,2023-06-27 16:55:00+00:00,15061.75,15067.5,15050.25,2023-06-27 16:58:00+00:00,15050.25,target,23.0,46,3.0,2023,11,"IB_break SHORT ib=[15059.50,15067.25]"
e_multi_day_breakout,LONG,2023-06-28 14:31:00+00:00,15141.25,15134.25,15155.25,2023-06-28 14:32:00+00:00,15155.25,target,28.0,56,1.0,2023,9,3d_break LONG 3dH=15155.50 3dL=14853.50
g_inside_bar_breakout,SHORT,2023-06-28 15:45:00+00:00,15179.0,15185.75,15165.5,2023-06-28 15:49:00+00:00,15165.5,target,27.0,54,4.0,2023,10,"IB_break SHORT ib=[15169.75,15185.50]"
a_asian_continuation,LONG,2023-06-30 09:00:00+00:00,15164.5,15161.0,15171.5,2023-06-30 09:04:00+00:00,15171.5,target,14.0,28,4.0,2023,4,"ON_break LONG close5=15173.75 on=[15098.75,15169.00]"
e_multi_day_breakout,LONG,2023-06-30 13:46:00+00:00,15302.0,15294.75,15316.5,2023-06-30 13:48:00+00:00,15316.5,target,29.0,58,2.0,2023,8,3d_break LONG 3dH=15218.75 3dL=14888.25
g_inside_bar_breakout,LONG,2023-06-30 14:30:00+00:00,15355.0,15347.5,15370.0,2023-06-30 14:36:00+00:00,15347.5,stop,-15.0,-30,6.0,2023,9,"IB_break LONG ib=[15347.75,15359.25]"
a_asian_continuation,LONG,2023-07-03 08:00:00+00:00,15366.0,15362.5,15373.0,2023-07-03 08:03:00+00:00,15373.0,target,14.0,28,3.0,2023,3,"ON_break LONG close5=15374.75 on=[15328.00,15366.25]"
b_rth_open_drive_scalp,LONG,2023-07-03 13:35:00+00:00,15359.75,15355.125,15369.0,2023-07-03 13:36:00+00:00,15355.125,stop,-9.0,-18,1.0,2023,8,OR_drive LONG progress=+21%
e_multi_day_breakout,LONG,2023-07-03 13:46:00+00:00,15365.5,15358.75,15379.0,2023-07-03 13:48:00+00:00,15379.0,target,27.0,54,2.0,2023,8,3d_break LONG 3dH=15376.50 3dL=15025.50
