strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
raschke_loose_trend,LONG,2022-07-15 18:40:00+00:00,11974.0,11970.25,11981.5,2022-07-15 18:42:00+00:00,11981.5,target,15.0,30,2.0,2022,13,raschke LONG pb=11977.25 ema=11971.27
raschke_1.5r_target,LONG,2022-07-15 18:40:00+00:00,11974.0,11970.25,11979.625,2022-07-15 18:41:00+00:00,11979.625,target,11.0,22,1.0,2022,13,raschke LONG pb=11977.25 ema=11971.27
raschke_3r_target,LONG,2022-07-15 18:40:00+00:00,11974.0,11970.25,11985.25,2022-07-15 18:42:00+00:00,11985.25,target,22.5,45,2.0,2022,13,raschke LONG pb=11977.25 ema=11971.27
raschke_long_only,LONG,2022-07-15 18:40:00+00:00,11974.0,11970.25,11981.5,2022-07-15 18:42:00+00:00,11981.5,target,15.0,30,2.0,2022,13,raschke LONG pb=11977.25 ema=11971.27
raschke_baseline,LONG,2022-07-15 19:05:00+00:00,11975.75,11967.0,11993.25,2022-07-15 19:30:00+00:00,11967.0,stop,-17.5,-35,25.0,2022,14,raschke LONG pb=11980.75 ema=11976.83
raschke_strict_trend,LONG,2022-07-15 19:05:00+00:00,11975.75,11967.0,11993.25,2022-07-15 19:30:00+00:00,11967.0,stop,-17.5,-35,25.0,2022,14,raschke LONG pb=11980.75 ema=11976.83
raschke_loose_trend,LONG,2022-07-15 19:05:00+00:00,11975.75,11967.0,11993.25,2022-07-15 19:30:00+00:00,11967.0,stop,-17.5,-35,25.0,2022,14,raschke LONG pb=11980.75 ema=11976.83
raschke_1.5r_target,LONG,2022-07-15 19:05:00+00:00,11975.75,11967.0,11988.875,2022-07-15 19:21:00+00:00,11988.875,target,26.0,52,16.0,2022,14,raschke LONG pb=11980.75 ema=11976.83
raschke_3r_target,LONG,2022-07-15 19:05:00+00:00,11975.75,11967.0,12002.0,2022-07-15 19:30:00+00:00,11967.0,stop,-17.5,-35,25.0,2022,14,raschke LONG pb=11980.75 ema=11976.83
raschke_long_only,LONG,2022-07-15 19:05:00+00:00,11975.75,11967.0,11993.25,2022-07-15 19:30:00+00:00,11967.0,stop,-17.5,-35,25.0,2022,14,raschke LONG pb=11980.75 ema=11976.83
raschke_ema50_ref,LONG,2022-07-15 19:40:00+00:00,11964.0,11958.25,11975.5,2022-07-15 19:42:00+00:00,11975.5,target,23.0,46,2.0,2022,14,raschke LONG pb=11979.75 ema=11964.38
raschke_loose_trend,LONG,2022-07-18 15:30:00+00:00,12138.75,12133.5,12149.25,2022-07-18 15:31:00+00:00,12133.5,stop,-10.5,-21,1.0,2022,10,raschke LONG pb=12146.25 ema=12134.95
raschke_ema9_ref,SHORT,2022-07-18 19:25:00+00:00,11947.0,11951.25,11938.5,2022-07-18 19:26:00+00:00,11938.5,target,17.0,34,1.0,2022,14,raschke SHORT pb=11930.25 ema=11946.87
