strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year
bias_momentum,LONG,2026-05-12 22:15:00+00:00,29162.5,29159.75,29169.375,2026-05-12 22:16:00+00:00,29169.375,target,14.0,28,1.0,2026
bias_momentum,LONG,2026-05-12 22:16:00+00:00,29168.25,29159.75,29189.5,2026-05-12 22:51:00+00:00,29159.75,stop,-17.0,-34,35.0,2026
bias_momentum,LONG,2026-05-12 22:51:00+00:00,29167.5,29155.5,29197.5,2026-05-12 22:56:00+00:00,29155.5,stop,-24.0,-48,5.0,2026
bias_momentum,LONG,2026-05-12 23:07:00+00:00,29146.0,29134.75,29174.125,2026-05-12 23:13:00+00:00,29134.75,stop,-22.5,-45,6.0,2026
bias_momentum,LONG,2026-05-12 23:20:00+00:00,29132.75,29086.25,29249.0,2026-05-12 23:42:00+00:00,29086.25,stop,-93.0,-186,22.0,2026
spring_setup,LONG,2026-05-13 00:02:00+00:00,29087.25,29037.25,29162.25,2026-05-13 01:03:00+00:00,29162.25,target,150.0,300,61.0,2026
bias_momentum,LONG,2026-05-13 00:15:00+00:00,29097.25,29082.25,29134.75,2026-05-13 00:19:00+00:00,29134.75,target,75.0,150,4.0,2026
bias_momentum,LONG,2026-05-13 00:43:00+00:00,29130.75,29115.75,29168.25,2026-05-13 00:50:00+00:00,29115.75,stop,-30.0,-60,7.0,2026
bias_momentum,LONG,2026-05-13 00:50:00+00:00,29117.25,29112.75,29128.5,2026-05-13 00:52:00+00:00,29128.5,target,22.5,45,2.0,2026
bias_momentum,LONG,2026-05-13 00:52:00+00:00,29132.25,29117.25,29169.75,2026-05-13 01:08:00+00:00,29169.75,target,75.0,150,16.0,2026
spring_setup,LONG,2026-05-13 01:07:00+00:00,29163.0,29129.25,29213.625,2026-05-13 01:45:00+00:00,29213.625,target,101.0,202,38.0,2026
bias_momentum,LONG,2026-05-13 01:25:00+00:00,29181.5,29170.75,29208.375,2026-05-13 01:45:00+00:00,29208.375,target,54.0,108,20.0,2026
spring_setup,LONG,2026-05-13 01:50:00+00:00,29232.75,29200.5,29281.125,2026-05-13 04:27:00+00:00,29281.125,target,97.0,194,157.0,2026
bias_momentum,LONG,2026-05-13 02:08:00+00:00,29209.5,29201.75,29228.875,2026-05-13 02:14:00+00:00,29228.875,target,39.0,78,6.0,2026
bias_momentum,LONG,2026-05-13 02:14:00+00:00,29217.25,29204.5,29249.125,2026-05-13 03:08:00+00:00,29204.5,stop,-25.5,-51,54.0,2026
bias_momentum,LONG,2026-05-13 03:08:00+00:00,29205.25,29168.5,29297.125,2026-05-13 04:31:00+00:00,29297.125,target,184.0,368,83.0,2026
bias_momentum,LONG,2026-05-13 04:35:00+00:00,29263.0,29230.75,29343.625,2026-05-13 06:18:00+00:00,29343.625,target,161.0,322,103.0,2026
spring_setup,LONG,2026-05-13 04:39:00+00:00,29279.0,29258.25,29310.125,2026-05-13 05:12:00+00:00,29310.125,target,62.0,124,33.0,2026
vwap_pullback_v2,LONG,2026-05-13 05:04:00+00:00,29292.25,29264.25,29342.75,2026-05-13 06:18:00+00:00,29342.75,target,101.0,202,74.0,2026
spring_setup,LONG,2026-05-13 05:35:00+00:00,29297.0,29277.25,29326.625,2026-05-13 06:15:00+00:00,29326.625,target,59.0,118,40.0,2026
